Sun. Jun. 23, 2013             LANDSAT 5                 Time: 22:34
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L7637067            Path/Row: 123 / 039

L0R Reference Image: L51BJC1087253020100_HDF.131750324
Acquisition Date: Sep 10, 1987

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
123   039   2002-07-09


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

1230390143   29.881318  114.274393    14.650       0.876    -3.922     1.417    -3.763
1230390144   29.609033  113.717823    21.608      -0.182    -2.481     0.172    -2.483
1230390145   30.613504  114.341321    12.294       0.661     0.111     0.635     0.202
1230390146   30.634678  113.982608    14.584      -1.751     2.038    -2.021     1.773
1230390147   31.076449  113.105452   189.156       1.811     4.114     1.228     4.328
1230390150   30.141697  114.268648    11.712       0.396     2.947    -0.030     2.976
1230390151   30.750211  114.807918    10.997       3.534    -6.653     4.428    -6.099
1230390152   30.868915  114.317546    27.994      -2.001     2.633    -2.356     2.328
1230390153   30.408181  114.446019    25.587       1.477    -2.653     1.831    -2.421
1230390154   30.511571  114.041643    22.061      -0.445    -1.776    -0.192    -1.823
1230390155   30.610383  114.174524    14.782      -3.182    -1.734    -2.911    -2.167
1230390157   30.360066  114.076559    20.733      -0.143     2.680    -0.523     2.634
1230390159   30.340692  113.414944    11.134       1.637     2.611     1.258     2.818
1230390160   30.276941  113.077260    13.478       0.018     1.589    -0.196     1.578
1230390161   30.835590  113.515679     5.953       5.119    -6.230     5.952    -5.452
1230390162   30.632548  114.648805    42.599      -1.816    -6.365    -0.913    -6.566
1230390163   30.109554  114.277545    18.150       1.983     3.158     1.513     3.409
1230390167   30.467338  114.127399    14.829      -4.984    -0.083    -4.928    -0.785
1230390168   30.839099  114.245360    31.919      -0.235    -2.963     0.180    -2.970
1230390171   29.997668  113.855187    14.574      -4.439    -0.664    -4.303    -1.287
1230390172   30.172557  114.332245    25.622       0.608     1.711     0.355     1.780
1230390174   30.981787  114.377015    13.181      -6.454     1.852    -6.660     0.929
1230390175   31.038328  114.386864    39.729       5.664     4.268     5.011     5.024
1230390177   30.820417  114.525223    10.100       2.655    -1.289     2.807    -0.905
